时间,力值 1#,力值 2#,力值 3#,合力
'2025-08-11 20:10:27.006,0.01,0,0,0.01
'2025-08-11 20:10:27.011,0.01,0,0,0.01
'2025-08-11 20:10:27.018,0.01,0,0,0.01
'2025-08-11 20:10:27.024,0.01,0,0,0.01
'2025-08-11 20:10:27.031,0.01,0,0,0.01
'2025-08-11 20:10:27.038,0.01,0,0,0.01
'2025-08-11 20:10:27.045,0.01,0,0,0.01
'2025-08-11 20:10:27.051,0.01,0,0,0.01
'2025-08-11 20:10:27.058,0.01,0,0,0.01
'2025-08-11 20:10:27.066,0.01,0,0,0.01
'2025-08-11 20:10:27.072,0.01,0,0,0.01
'2025-08-11 20:10:27.078,0.01,0,0,0.01
'2025-08-11 20:10:27.085,0.01,0,0,0.01
'2025-08-11 20:10:27.091,0.01,0,0,0.01
'2025-08-11 20:10:27.098,0.01,0,0,0.01
'2025-08-11 20:10:27.104,0.01,0,0,0.01
'2025-08-11 20:10:27.111,0.01,0,0,0.01
'2025-08-11 20:10:27.118,0.01,0,0,0.01
'2025-08-11 20:10:27.123,0.01,0,0,0.01
'2025-08-11 20:10:27.130,0.01,0,0,0.01
'2025-08-11 20:10:27.137,0.01,0,0,0.01
'2025-08-11 20:10:27.143,0.01,0,0,0.01
'2025-08-11 20:10:27.151,0.01,0,0,0.01
'2025-08-11 20:10:27.157,0,0,0,0
'2025-08-11 20:10:27.163,0,0,0,0
'2025-08-11 20:10:27.169,0,0,0,0
'2025-08-11 20:10:27.176,0,0,0,0
'2025-08-11 20:10:27.183,0,0,0,0
'2025-08-11 20:10:27.189,0,0,0,0
'2025-08-11 20:10:27.195,0,0,0,0
'2025-08-11 20:10:27.202,0,0,0,0
'2025-08-11 20:10:27.209,0,0,0,0
'2025-08-11 20:10:27.215,0,0,0,0
'2025-08-11 20:10:27.221,0,0,0,0
'2025-08-11 20:10:27.228,0,0,0,0
'2025-08-11 20:10:27.234,0,0,0,0
'2025-08-11 20:10:27.241,0,0,0,0
'2025-08-11 20:10:27.247,0,0,0,0
'2025-08-11 20:10:27.253,0,0,0,0
'2025-08-11 20:10:27.260,0,0,0,0
'2025-08-11 20:10:27.267,0,0,0,0
'2025-08-11 20:10:27.273,0,0,0,0
'2025-08-11 20:10:27.280,0,0,0,0
'2025-08-11 20:10:27.287,0,0,0,0
'2025-08-11 20:10:27.293,0,0,0,0
'2025-08-11 20:10:27.299,0,0,0,0
'2025-08-11 20:10:27.306,0,0,0,0
'2025-08-11 20:10:27.312,0,0,0,0
'2025-08-11 20:10:27.318,0,0,0,0
'2025-08-11 20:10:27.325,0,0,0,0
'2025-08-11 20:10:27.332,0,0,0,0
'2025-08-11 20:10:27.338,0,0,0,0
'2025-08-11 20:10:27.345,0,0,0,0
'2025-08-11 20:10:27.352,0,0,0,0
'2025-08-11 20:10:27.358,0,0,0,0
'2025-08-11 20:10:27.364,0,0,0,0
'2025-08-11 20:10:27.370,0,0,0,0
'2025-08-11 20:10:27.376,0,0,0,0
'2025-08-11 20:10:27.383,0,0,0,0
'2025-08-11 20:10:27.389,0,0,0,0
'2025-08-11 20:10:27.396,0,0,0,0
'2025-08-11 20:10:27.402,0,0,0,0
'2025-08-11 20:10:27.409,0,0,0,0
'2025-08-11 20:10:27.415,0,0,0,0
'2025-08-11 20:10:27.422,0,0,0,0
'2025-08-11 20:10:27.428,0,0,0,0
'2025-08-11 20:10:27.434,0,0,0,0
'2025-08-11 20:10:27.441,0,0,0,0
'2025-08-11 20:10:27.447,0,0,0,0
'2025-08-11 20:10:27.454,0,0,0,0
'2025-08-11 20:10:27.460,0,0,0,0
'2025-08-11 20:10:27.466,0,0,0,0
'2025-08-11 20:10:27.473,0,0,0,0
'2025-08-11 20:10:27.479,0,0,0,0
'2025-08-11 20:10:27.487,0,0,0,0
'2025-08-11 20:10:27.493,0,0,0,0
'2025-08-11 20:10:27.500,0,0,0,0
'2025-08-11 20:10:27.507,0,0,0,0
'2025-08-11 20:10:27.514,0,0,0,0
'2025-08-11 20:10:27.521,0,0,0,0
'2025-08-11 20:10:27.527,0,0,0,0
'2025-08-11 20:10:27.533,0,0,0,0
'2025-08-11 20:10:27.539,0,0,0,0
'2025-08-11 20:10:27.546,0,0,0,0
'2025-08-11 20:10:27.553,0,0,0,0
'2025-08-11 20:10:27.559,0,0,0,0
'2025-08-11 20:10:27.565,0,0,0,0
'2025-08-11 20:10:27.573,0,0,0,0
'2025-08-11 20:10:27.579,0,0,0,0
'2025-08-11 20:10:27.585,0,0,0,0
'2025-08-11 20:10:27.592,0,0,0,0
'2025-08-11 20:10:27.598,0,0,0,0
'2025-08-11 20:10:27.604,0,0,0,0
'2025-08-11 20:10:27.611,0,0,0,0
'2025-08-11 20:10:27.617,0,0,0,0
'2025-08-11 20:10:27.624,0,0,0,0
'2025-08-11 20:10:27.630,0,0,0,0
'2025-08-11 20:10:27.637,0,0,0,0
'2025-08-11 20:10:27.643,0,0,0,0
'2025-08-11 20:10:27.651,0,0,0,0
'2025-08-11 20:10:27.657,0,0,0,0
'2025-08-11 20:10:27.664,0,0,0,0
'2025-08-11 20:10:27.671,0,0,0,0
'2025-08-11 20:10:27.677,0,0,0,0
'2025-08-11 20:10:27.684,0,0,0,0
'2025-08-11 20:10:27.690,0,0,0,0
'2025-08-11 20:10:27.697,0,0,0,0
'2025-08-11 20:10:27.703,0,0,0,0
'2025-08-11 20:10:27.710,0,0,0,0
'2025-08-11 20:10:27.716,0,0,0,0
'2025-08-11 20:10:27.723,0,0,0,0
'2025-08-11 20:10:27.729,0,0,0,0
'2025-08-11 20:10:27.735,0,0,0,0
'2025-08-11 20:10:27.742,0,0,0,0
'2025-08-11 20:10:27.748,0,0,0,0
'2025-08-11 20:10:27.755,0,0,0,0
'2025-08-11 20:10:27.761,0,0,0,0
'2025-08-11 20:10:27.768,0,0,0,0
'2025-08-11 20:10:27.774,0,0,0,0
'2025-08-11 20:10:27.780,0,0,0,0
'2025-08-11 20:10:27.786,0,0,0,0
'2025-08-11 20:10:27.793,0,0,0,0
'2025-08-11 20:10:27.800,0.01,0,0,0.01
'2025-08-11 20:10:27.806,0.01,0,0,0.01
'2025-08-11 20:10:27.812,0.01,0,0,0.01
'2025-08-11 20:10:27.821,0.01,0,0,0.01
'2025-08-11 20:10:27.827,0.01,0,0,0.01
'2025-08-11 20:10:27.833,0.01,0,0,0.01
'2025-08-11 20:10:27.841,0.01,0,0,0.01
'2025-08-11 20:10:27.847,0.01,0,0,0.01
'2025-08-11 20:10:27.853,0.01,0,0,0.01
'2025-08-11 20:10:27.860,0.01,0,0,0.01
'2025-08-11 20:10:27.866,0.01,0,0,0.01
'2025-08-11 20:10:27.873,0.01,0,0,0.01
'2025-08-11 20:10:27.880,0.01,0,0,0.01
'2025-08-11 20:10:27.886,0.01,0,0,0.01
'2025-08-11 20:10:27.893,0.01,0,0,0.01
'2025-08-11 20:10:27.899,0.01,0,0,0.01
'2025-08-11 20:10:27.906,0.01,0,0,0.01
'2025-08-11 20:10:27.912,0.01,0,0,0.01
'2025-08-11 20:10:27.919,0.01,0,0,0.01
'2025-08-11 20:10:27.925,0.01,0,0,0.01
'2025-08-11 20:10:27.932,0.01,0,0,0.01
'2025-08-11 20:10:27.938,0.01,0,0,0.01
'2025-08-11 20:10:27.944,0.01,0,0,0.01
'2025-08-11 20:10:27.951,0.01,0,0,0.01
'2025-08-11 20:10:27.957,0.01,0,0,0.01
'2025-08-11 20:10:27.963,0.01,0,0,0.01
'2025-08-11 20:10:27.970,0.01,0,0,0.01
'2025-08-11 20:10:27.977,0.01,0,0,0.01
'2025-08-11 20:10:27.983,0.01,0,0,0.01
'2025-08-11 20:10:27.990,0.01,0,0,0.01
'2025-08-11 20:10:27.996,0.01,0,0,0.01
'2025-08-11 20:10:28.003,0.01,0,0,0.01
'2025-08-11 20:10:28.009,0.01,0,0,0.01
'2025-08-11 20:10:28.015,0.01,0,0,0.01
'2025-08-11 20:10:28.021,0.01,0,0,0.01
'2025-08-11 20:10:28.028,0.01,0,0,0.01
'2025-08-11 20:10:28.035,0.01,0,0,0.01
'2025-08-11 20:10:28.041,0.01,0,0,0.01
'2025-08-11 20:10:28.047,0.01,0,0,0.01
'2025-08-11 20:10:28.054,0.01,0,0,0.01
'2025-08-11 20:10:28.060,0.01,0,0,0.01
'2025-08-11 20:10:28.067,0.01,0,0,0.01
'2025-08-11 20:10:28.073,0.01,0,0,0.01
'2025-08-11 20:10:28.080,0.01,0,0,0.01
'2025-08-11 20:10:28.086,0.01,0,0,0.01
'2025-08-11 20:10:28.093,0.01,0,0,0.01
'2025-08-11 20:10:28.101,0.01,0,0,0.01
'2025-08-11 20:10:28.107,0.01,0,0,0.01
'2025-08-11 20:10:28.113,0.01,0,0,0.01
'2025-08-11 20:10:28.120,0.01,0,0,0.01
'2025-08-11 20:10:28.126,0.01,0,0,0.01
'2025-08-11 20:10:28.133,0.01,0,0,0.01
'2025-08-11 20:10:28.138,0.01,0,0,0.01
'2025-08-11 20:10:28.145,0.01,0,0,0.01
'2025-08-11 20:10:28.151,0.01,0,0,0.01
'2025-08-11 20:10:28.158,0.01,0,0,0.01
'2025-08-11 20:10:28.165,0.01,0,0,0.01
'2025-08-11 20:10:28.171,0.01,0,0,0.01
'2025-08-11 20:10:28.177,0.01,0,0,0.01
'2025-08-11 20:10:28.184,0.01,0,-0.01,0.014142136
'2025-08-11 20:10:28.190,0.01,0,-0.01,0.014142136
'2025-08-11 20:10:28.196,0.01,0,-0.01,0.014142136
'2025-08-11 20:10:28.203,0.01,0,-0.01,0.014142136
'2025-08-11 20:10:28.209,0.01,0,-0.01,0.014142136
'2025-08-11 20:10:28.216,0.01,0,-0.01,0.014142136
'2025-08-11 20:10:28.222,0.01,0,-0.01,0.014142136
'2025-08-11 20:10:28.228,0.01,0,-0.01,0.014142136
'2025-08-11 20:10:28.234,0.01,0,-0.02,0.02236068
'2025-08-11 20:10:28.242,0.01,-0.01,-0.02,0.024494897
'2025-08-11 20:10:28.248,0.01,-0.01,-0.02,0.024494897
'2025-08-11 20:10:28.255,0.01,-0.01,-0.02,0.024494897
'2025-08-11 20:10:28.261,0.01,-0.01,-0.02,0.024494897
'2025-08-11 20:10:28.268,0.01,-0.01,-0.02,0.024494897
'2025-08-11 20:10:28.276,0.01,-0.01,-0.02,0.024494897
'2025-08-11 20:10:28.283,0.01,-0.01,-0.03,0.033166248
'2025-08-11 20:10:28.289,0.01,-0.01,-0.03,0.033166248
'2025-08-11 20:10:28.295,0.01,-0.01,-0.03,0.033166248
'2025-08-11 20:10:28.302,0.01,-0.01,-0.03,0.033166248
'2025-08-11 20:10:28.308,0.01,-0.01,-0.03,0.033166248
'2025-08-11 20:10:28.314,0.01,-0.01,-0.03,0.033166248
'2025-08-11 20:10:28.320,0.01,-0.01,-0.03,0.033166248
'2025-08-11 20:10:28.327,0.01,-0.01,-0.03,0.033166248
'2025-08-11 20:10:28.334,0.01,-0.01,-0.03,0.033166248
'2025-08-11 20:10:28.341,0.01,-0.01,-0.03,0.033166248
'2025-08-11 20:10:28.348,0.01,-0.01,-0.03,0.033166248
'2025-08-11 20:10:28.354,0.01,-0.01,-0.03,0.033166248
'2025-08-11 20:10:28.360,0.01,-0.01,-0.02,0.024494897
'2025-08-11 20:10:28.367,0.01,-0.01,-0.02,0.024494897
'2025-08-11 20:10:28.375,0.01,-0.01,-0.03,0.033166248
'2025-08-11 20:10:28.382,0.01,-0.01,-0.03,0.033166248
'2025-08-11 20:10:28.389,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.395,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.402,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.408,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.415,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.421,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.428,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.434,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.442,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.450,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.457,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.463,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.470,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.477,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.484,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.490,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.497,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.504,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.510,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.516,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.524,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.529,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.536,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.543,0,-0.01,-0.03,0.031622777
'2025-08-11 20:10:28.549,0,0,-0.03,0.03
'2025-08-11 20:10:28.555,0,0,-0.03,0.03
'2025-08-11 20:10:28.561,0,0,-0.03,0.03
'2025-08-11 20:10:28.568,0,0,-0.03,0.03
